,사업장명,주소,위도,경도
338,지에스25 안중탑클래스점,경기도 평택시 안중읍 안중리 256-46 ,36.9887351,126.9250100
347,지에스25 안중현화공원점,경기도 평택시 안중읍 현화리 833-2 세연프라자 1층 ,36.9787304,126.9206803
348,GS25평택신대점,경기도 평택시 신대동 370-22 ,36.9964606,127.0666677
349,씨유평택금호어울림점,경기도 평택시 고덕동 0 고덕국제신도시 금호어울림 근린생활시설-2동 지1층 110호,,
352,씨유평택원평로점,경기도 평택시 평택동 162-1 ,36.9895198,127.0830188
354,씨유평택에듀스카이점,경기도 평택시 고덕동 1693-453 에듀스카이 1동 1층(1693-453외1필지(1693-454)) 114호,37.0364847,127.0280744
355,세븐일레븐 평택송담로점,경기도 평택시 안중읍 송담리 829-2 1층 ,36.9817833,126.9301849
365,지에스25 현덕제일점,경기도 평택시 현덕면 인광리 405-18 ,36.9655967,126.9195518
371,씨유(CU)평택부락산공원점,경기도 평택시 지산동 576-4 1층 ,37.0795326,127.0699549
375,씨유 평택안중고점,경기도 평택시 안중읍 현화리 247 ,36.9853511,126.9231731
377,지에스25서정북로점(GS25서정북로점),경기도 평택시 서정동 775-12 1층 ,37.0715540,127.0644881
379,씨유송탄비행장점,"경기도 평택시 진위면 하북리 596-31 외 1필지(602-1), 1동 1층 ",37.0942296,127.0533394
391,지에스(GS)25서정빌리지,경기도 평택시 서정동 297-6 1동 1층 ,37.0587160,127.0556957
398,지에스(GS)25 송탄도개점,경기도 평택시 칠괴동 490-6 도개빌딩 1층 ,37.0260959,127.0797144
403,세븐일레븐 평택서희스타점,경기도 평택시 신장동 164-1 1동 1층 ,37.0871038,127.0552140
410,지에스25 안중용성점,경기도 평택시 안중읍 용성리 515-2 1층 ,37.0129347,126.9485242
423,씨유평택태왕점,경기도 평택시 고덕동 2461-1 고덕국제신도시아너스 상가동 101호,37.0439972,127.0235557
431,지에스25 포승무지개점,경기도 평택시 포승읍 도곡리 1114 포승삼부르네상스1단지 102호,36.9889150,126.8513315
433,유한회사페니정서진점GS25골든플래닛평택,경기도 평택시 서정동 334-5 1층 ,37.0565213,127.0561343
438,세븐일레븐 평택진위역점,경기도 평택시 진위면 하북리 151-4 A동 1층(151-4외1필지(진위면 견산리 518-1)) ,37.1092703,127.0644174
442,씨유평택동문센터점,경기도 평택시 칠원동 548 맘스스퀘어 A동 1층 111호,37.0260306,127.1038429
443,이마트24고덕나이스타워점,경기도 평택시 고덕동 2611-1 ,37.0458559,127.0412354
448,씨유 평택센트럴돔점,경기도 평택시 비전동 1104 ,36.9991678,127.1125291
462,이마트24 R평택주공3단지점,경기도 평택시 이충동 680 반지마을주공아파트 나상가동 1층 104호 ,37.0573039,127.0674464
464,세븐일레븐 평택지산시티점,경기도 평택시 지산동 851-15 1층 ,37.0750805,127.0579312
465,지에스25고덕제일점,경기도 평택시 고덕동 1978-2 고덕국제도시 제일타워 1동 1층 105호 ,37.0468276,127.0456352
467,씨유평택고덕풍경채점,경기도 평택시 고덕동 2518-1 고덕국제신도시 제일풍경채3차 센텀 1층 근린생활시설동 103호,37.0387082,127.0287272
481,지에스(GS)25 송탄시티점,경기도 평택시 도일동 135-1 1동 1층 ,37.0561594,127.1172691
490,씨유 평택보건소점,경기도 평택시 비전동 856-1 에스케이 비전아파트 ,36.9906405,127.1105189
492,세븐일레븐 평택세교원룸점,경기도 평택시 세교동 616-2 ,37.0063039,127.0888229
493,씨유 평택신흥마을점,경기도 평택시 용이동 428-6 ,37.0016125,127.1489168
505,지에스25N서해회관점,경기도 평택시 포승읍 원정리 1302 ,36.9925285,126.8260539
506,씨유평택태광고점,"경기도 평택시 신장동 263-6 외 10필지, 학교법인 태광학원 10동 1층 ",37.0732692,127.0522012
507,씨유평택행복타운점,"경기도 평택시 고덕동 0 평택고덕 LH 12단지 1층, 101호,102호 ",,
511,씨유(CU) 나눔평택점,경기도 평택시 동삭동 0 102호,,
512,씨유 평택소사벌휴먼시아점,경기도 평택시 비전동 1004 휴먼시아2단지 ,37.0045340,127.0968862
517,씨유 평택센트리마점,경기도 평택시 고덕동 2158-5 센트리마 더퍼스트1108 1층 108호,37.0408802,127.0520088
520,이마트24 팽성타운점,경기도 평택시 팽성읍 객사리 174-35 ,36.9659343,127.0624206
522,세븐일레븐 평택포승센터점,경기도 평택시 포승읍 도곡리 1125-4 1층 ,36.9859786,126.8451289
528,CU평택팽성두정점,경기도 평택시 팽성읍 두정리 147-5 ,36.9445993,127.0246712
530,이마트24 평택서정남로점,경기도 평택시 서정동 207-6 1층 ,37.0604782,127.0574153
542,로또.토토&편의점,경기도 평택시 청북읍 고렴리 663-9 ,37.0625061,126.9183646
554,지에스25평택서탄점,경기도 평택시 서탄면 금암리 568 ,37.1091895,127.0326284
555,지에스(GS)25 서탄엘리트,경기도 평택시 서탄면 수월암리 448-1 주건축물제4동 1층 ,37.1160088,127.0353918
567,이마트24 R고덕중앙점,경기도 평택시 고덕동 2546-1 주건축물제1동 1층 ,37.0432958,127.0375335
572,씨유포승원정베스트점,경기도 평택시 포승읍 원정리 1164-38 지영주택 ,36.9995075,126.8453622
573,씨유 평택케이티앤지점,경기도 평택시 평택동 23-2 ,36.9939474,127.0909409
576,지에스25 고덕메디컬점,경기도 평택시 고덕동 2613-1 고은메디타워 1층 114호,37.0452126,127.0403117
580,이마트24 알(R) 고덕갈평점,경기도 평택시 고덕동 1817-4 주건축물제1동 1층 ,37.0642137,127.0512171
586,씨유신장노블레스점,"경기도 평택시 신장동 324-70 외 11필지 화신노블레스 7차 110,1호",37.0827431,127.0529859
596,지에스25 어연스마트점,경기도 평택시 청북읍 어연리 906 평택 스마트팩토리 119호,37.0493042,126.9758814
598,지에스25 안중센터점,경기도 평택시 안중읍 현화리 858-8 ,36.9818655,126.9271850
603,씨유 청북중앙점,경기도 평택시 청북읍 현곡리 406-10 ,37.0408020,126.9294610
613,로그인편의점평택함박산,경기도 평택시 고덕동 2570-1 ,37.0414900,127.0381500
627,지에스25평택골든점,경기도 평택시 비전동 1090-5 골든프라자-7 ,37.0009077,127.1123817
630,씨유 포승오션점,경기도 평택시 포승읍 도곡리 148-6 ,36.9916332,126.8573075
631,세븐일레븐 평택안중주공점,경기도 평택시 안중읍 현화리 843-1 주공아파트 상가나동 101호,36.9836405,126.9223179
648,지에스25 포승내기점,경기도 평택시 포승읍 내기리 16-6 ,36.9784636,126.8780315
650,이마트24R평택드림테크점,경기도 평택시 청북읍 율북리 1121-1 ,37.0628904,126.9706452
665,씨유 안중송담센터점,경기도 평택시 안중읍 안중리 497-1 ,36.9811211,126.9341639
666,지에스25 안중주공점,경기도 평택시 안중읍 현화리 842 주공아파트 ,36.9822096,126.9224889
668,이마트24고덕리슈빌점,경기도 평택시 고덕동 2681-1 ,37.0377022,127.0355817
681,세븐일레븐평택신리점,경기도 평택시 진위면 신리 66-3 1층 ,37.0985332,127.0637948
682,씨유(CU)HD팽성드림주유소점,경기도 평택시 팽성읍 두리 231-8 ,36.9689132,127.0618334
692,세븐일레븐 평택안중안일점,경기도 평택시 안중읍 현화리 864-1 ,36.9821569,126.9254586
694,씨유독곡로드점,경기도 평택시 독곡동 40-3 1층 ,37.0901809,127.0709723
701,데이앤데이 평택판타지점,경기도 평택시 오성면 죽리 10-12 ,37.0083106,126.9723887
703,지에스25 송담봄빛센터점,경기도 평택시 안중읍 안중리 458-4 ,36.9831124,126.9349185
704,씨유 평택서부삼성점,경기도 평택시 통복동 477 삼성아파트 ,36.9917077,127.0795831
705,이마트24고덕단독주택점,경기도 평택시 고덕동 2201-6 1층 101호,37.0398269,127.0466228
706,지에스25이충현대점,"경기도 평택시 장당동 483-6 1층 107호, 108호",37.0532217,127.0552737
709,이마트24 R고덕스마일점,경기도 평택시 고덕동 2214-8 ,37.0389031,127.0453101
710,씨유 평택편한세상점,경기도 평택시 동삭동 0 ,,
717,씨유평택고덕대광점,경기도 평택시 고덕동 2664-1 고덕국제신도시 대광로제비앙 THE ART 지하1층 B112호,37.0364546,127.0328400
719,이마트24세교디오네점,경기도 평택시 세교동 586-3 세교디오네프라자 ,37.0090266,127.0907234
720,이마트24R평택고덕파크점,경기도 평택시 고덕동 2600-1 1층 ,37.0394962,127.0400122
724,씨유평택고덕점,경기도 평택시 고덕동 2100-7 레드하우스 1층 ,37.0430250,127.0518718
730,지에스25평택효성영화,경기도 평택시 소사동 0 평택 효성해링턴 플레이스 1단지 ,,
732,지에스25 오성센터점,경기도 평택시 오성면 숙성리 185-12 ,37.0083595,126.9844038
734,씨유 평택합정주공점,경기도 평택시 합정동 829 주공아파트 4단지 ,36.9898730,127.0907461
735,씨유팽성노와길점,경기도 평택시 팽성읍 노와리 153-295 ,36.9522614,127.0793622
