,사업장명,주소,위도,경도
187,궁(리에있는)댕(카페),경기도 평택시 고덕면 궁리 72-11 1동 1층 ,37.0180682,127.0343231
189,카페미소,경기도 평택시 안중읍 송담리 825-1 1층 ,36.9826905,126.9291103
191,이플당,경기도 평택시 서정동 775-14 1층 ,37.0715047,127.0642686
201,투썸플레이스 평택서해회관점,경기도 평택시 포승읍 원정리 1302 서해회관 1층 ,36.9925285,126.8260539
202,카페 호록코록(horok korok),경기도 평택시 용이동 473-4 ,37.0005279,127.1454649
204,메가엠지씨커피 평택고덕하늘채점,경기도 평택시 고덕면 궁리 523 고덕하늘채 시그니처 비동 1층 108호 ,37.0201237,127.0345312
206,엔조이유어피크닉커피(enjoy your picnic coffee),경기도 평택시 고덕동 2085-3 제1동 1층 ,37.0412672,127.0523460
208,슬로우타임,경기도 평택시 청북읍 후사리 389-6 ,37.0229455,126.9423667
214,카페하우스,경기도 평택시 서정동 49 제1동 1층 ,37.0729446,127.0581821
217,디스트릭트1979,경기도 평택시 청북읍 고렴리 663-9 ,37.0625061,126.9183646
218,빽다방 송탄출장소점,경기도 평택시 서정동 816-11 1층 ,37.0673402,127.0631175
219,위시빌리,경기도 평택시 도일동 4-1 ,37.0592911,127.1247876
221,봄밀,경기도 평택시 청북읍 옥길리 1277-7 ,37.0179718,126.9193249
227,형제상회,"경기도 평택시 서정동 317-27 317-28, 317-49, 317-51, 317-58, 1층 ",37.0574324,127.0542779
233,메가엠지씨커피 평택지제퍼스티움점,경기도 평택시 동삭동 593-1 힐스테이트 지제역 퍼스티움 ,37.0184424,127.0842816
236,오크(OAK)베이커리카페,"경기도 평택시 고덕동 1983-5 고덕리치타워2 1층 107,108호 ",37.0456044,127.0448625
240,하이오커피 고덕에듀타운점,경기도 평택시 고덕동 2696-2 DS에듀타워 1동 1층 109호,37.0366105,127.0276683
243,메가엠지씨커피 평택세무서점,경기도 평택시 죽백동 770-1 ,37.0038630,127.1183600
245,린넨스토리,경기도 평택시 안중읍 송담리 827-2 ,36.9817436,126.9308287
246,해와달,경기도 평택시 현덕면 신왕리 413 제2동 1층 ,36.9352639,126.9596828
251,써니데이,경기도 평택시 세교동 557 부영원앙아파트 ,37.0035238,127.0816577
255,우지커피 평택오성점,경기도 평택시 오성면 숙성리 186-9 ,37.0078479,126.9840869
