이름,위도,경도
쌍용자동차후문,37.0333333,127.0936167
평택지제역,37.01925,127.06925
중흥S클래스.호반베르디움,37.0075667,127.1118333
호반베르디움.중흥S클래스,37.00735,127.1119833
기남방송사거리입구,37.0213667,127.1195333
기남방송사거리,37.0225333,127.11995
청룡교차로,37.027,127.1224833
청룡동입구,37.0195333,127.11825
자란로타리,36.9975833,127.09185
e편한세상지제역아파트,37.01675,127.0887167
쌍용자동차출고장,37.0320333,127.0900667
고잔2리,37.0521,126.90945
제기리.구주제약,37.1300667,127.0180167
덕절1리,37.1333,127.0269667
도투락입구,37.1327333,127.0251833
월곡동마을회관,37.0232667,127.1391833
평택오썸플렉스,37.0272,127.0194
신흥마을,37.0009833,127.1505667
중앙초교정문앞,37.0010667,127.0787167
중앙초교정문앞,37.00105,127.0784667
굿모닝병원.sk아파트,36.9907167,127.1225
sk아파트.굿모닝병원,36.9896833,127.11975
고덕파라곤(중),37.0550167,127.0466
센트럴자이1단지(중),37.01615,127.0980167
평택시외버스터미널(시내),36.9901333,127.08785
회화리,37.096,127.0265333
새터,37.0014167,127.0620167
도곡삼거리,36.9948,126.8495
원정변전소사거리,36.993,126.8398167
해군아파트,36.9938833,126.8325333
해군기지,36.9944333,126.83455
안중출장소,36.9887167,126.9213167
고덕금호어울림,37.0334333,127.0235333
안중시장입구.안중농협,36.9887167,126.9293333
베스트빌리지,36.97185,127.04085
인광4리,36.97425,126.9226333
장수리입구,36.9506,126.91275
권관3리,36.9239333,126.91325
구종점,36.91455,126.9098167
평택호관광단지,36.9152667,126.90785
우경아파트,36.9183333,126.9080333
에덴약국.구터미널,36.9882,126.9272833
안중고교,36.98765,126.9234
만호3리,36.9644833,126.8588833
한라아파트,36.9628833,126.8511167
만호5리,36.9626167,126.84905
평택지방해양수산청,36.9619833,126.8455167
현대평화주유소,36.9463667,126.913
SR아파트,36.9606333,126.8561333
안중구터미널,36.98885,126.9313333
SK가스,37.0067833,126.8052667
원정변전소사거리,36.9928167,126.8398
쌍용주택,36.9996667,126.8385333
신창아파트,36.9807,126.9372333
송담리,36.9790667,126.9393833
송담리,36.979,126.9395167
직산말,36.9757833,126.9411
직산말,36.9758167,126.9412167
삼정리입구,36.9733,126.9428833
현대모비스,36.9798667,126.8464167
소당마을,36.9675333,126.9455833
소당마을,36.96735,126.9460833
만호4리입구,36.96515,126.8575333
만호4리입구,36.9652667,126.85745
포승삼부르네상스2단지,36.9914833,126.8459167
포승삼부르네상스2단지,36.9917167,126.84575
동령마을,37.0613,127.0733167
도대2리,36.9606333,126.90325
도대3리,36.9651333,126.9042833
도대1리,36.96935,126.9025
비전1동행정복지센터.반도유보라2단지,37.0105333,127.1124333
홍원3지구,37.0108333,126.8666667
홍원3지구,37.0107833,126.8667833
경림건설,37.0033167,126.8752333
경림건설,37.0033833,126.87525
석정5리(새원입구),37.0015167,126.88205
석정5리(새원입구),37.0022,126.8811167
석정5리(회관),37.00245,126.8800333
석정5리(현석),36.99885,126.88095
석정5리(현석),36.9987667,126.8811333
원석정,36.9938,126.88145
원석정,36.99385,126.8815167
석정1리(감기),36.9918833,126.8808333
석정1리(감기),36.99185,126.8809
석정2리(한유지부락입구),36.9877167,126.8798333
석정2리(한유지부락입구),36.9876667,126.8799167
석정2리마을회관,36.9861333,126.8793
석정2리.마을회관,36.9850833,126.8788333
방축리.국제병원,37.01605,127.049
국민은행,37.0183167,126.9153333
뉴욕치과,36.9881,126.8452167
서정지하차도,37.0669667,127.0533167
롯데캐슬아파트,37.0598667,127.0587667
현대주유소,36.9861,126.8602167
학현1리,37.0006667,126.9297333
학현1리,37.0007167,126.9295833
덕우리,37.0110833,126.9265333
호반써밋에듀.제일풍경채3차센텀,37.0381,127.03055
부영1차후문,37.0163,126.9160333
동령마을,37.06135,127.0733833
부영1차후문,37.0162,126.9158833
부영2차정문,37.0185,126.9130333
옥길3리,37.02785,126.9121
옥길2리(가사),37.03195,126.91515
해창5리,37.0210667,127.0215667
고덕초등학교,37.0391,127.0174833
고덕초등학교,37.0391833,127.0172167
신풍제지,37.0301333,127.01915
신풍제지,37.0296,127.0188167
고덕파라곤(중),37.0551,127.0475167
국립농산물품질관리원,37.0586167,127.04945
지제마을입구,37.0244833,127.0609
대반2리,36.9889333,126.9490167
대반2리,36.9887,126.9491833
대반3리,36.9848167,126.9501
오성산업단지,37.02895,126.9464833
대반4리,36.9802333,126.9509
대반5리,36.9802833,126.95495
원길음,36.9861333,126.96465
원길음,36.98665,126.9651667
행정복지타운,37.0444167,127.0439167
길음1리,36.9875833,126.9704667
당거사거리,36.98845,126.9744
청아초교,37.0236167,126.9154667
창내2리,36.9823167,127.0213833
창내2리,36.9823833,127.0220833
이주단지앞,37.0279833,127.1060167
K-6구정문,36.9589833,127.0428833
창신초교,37.0045,127.0074333
상서재서초근린공원,37.0187333,127.106
신3리,37.0011167,127.0168167
신장1동행정복지센터,37.0829,127.0547833
중대마을,37.0011,127.0194333
원창부락,36.9967333,127.0216667
고덕신도시입구,37.0646333,127.0515167
신촌,36.9894167,127.0180667
제일풍경채,37.0534667,127.0434667
창내2리,36.9894,127.0216167
당거3리(길마원),36.9895833,127.00755
백봉1리,37.0307833,126.9892833
백봉2리,37.0341167,126.9814833
양교1리,37.0253,126.9763333
토진3리.국길,37.0312167,126.9655167
토진3리.가재울,37.0337167,126.9606333
양교5리,37.0241167,126.9631167
양교5리,37.0241,126.9632333
진위3산업단지북측,37.0888667,127.1019333
롯데시네마,37.0668,127.0608667
롯데시네마,37.0671167,127.0605
원평노을지하차도,36.9940333,127.0786167
원평노을지하차도,36.9944333,127.0793333
고덕LH17단지정문,37.03695,127.0447333
진위3산업단지동측,37.0863333,127.1047167
대사1리,36.9445833,127.0629667
노양2리,36.9435667,127.0041667
노양1리입구,36.9357833,126.9963167
노양리마을회관,36.9352833,126.9910167
노양리낚시터,36.9370167,126.9909333
본정사거리,36.9490167,127.0096833
진위3산업단지,37.0844,127.1016667
본정리,36.9473667,127.0056833
큰농고지,36.9419833,127.0379167
두정3리,36.94275,127.0317167
두정2리,36.9441,127.0256833
드림테크산단,37.0599167,126.9673667
국립농산물품질관리원,37.0588833,127.0484333
함정2리,36.9547167,127.01155
함정1리,36.9524833,127.0144
두정2리,36.9442667,127.0254833
두정3리,36.9428333,127.0317
큰농고지,36.9421833,127.0379167
두정1리,36.9419167,127.0401833
계양입구,36.9406333,127.0474333
팽성초등학교(좌회전전용),36.9514333,127.0528833
농성,36.9632667,127.0467
안정3리,36.9631167,127.0443167
국제석유,36.96255,127.04355
K-6구정문,36.9591167,127.0429333
송화3리,36.9548667,127.0493833
K6정문.캠프험프리(시외버스),36.9578667,127.04535
안정6리,36.9613,127.0499833
안정6리,36.95885,127.0467
안정5리,36.95875,127.04615
안정6리,36.9608833,127.04905
초원빌라,36.9622667,127.0508167
대원아파트.팽성읍사무소,36.9645,127.0614833
부용초등학교,36.9645667,127.0590833
