어린이집명,주소,위도,경도
뭉게구름어린이집,"경기도 평택시 세교공원로 33 303동 101호(세교동, 부영2차아파트)",37.0037316,127.0814549
세교어린이집,"경기도 평택시 세교공원로 66 503동 108호(세교동, 부영1차아파트)",37.0035948,127.0852822
아이뽀어린이집,경기도 평택시 지제동삭1로 41 113동 205호,37.0229222,127.0755031
예그린 어린이집,"경기도 평택시 세교3로 5 102동 107호(세교동, 우성꿈그린)",37.0022150,127.0804273
유아어린이집,"경기도 평택시 세교공원로 66 505동 110호(세교동, 부영1차아파트)",37.0035948,127.0852822
캐롤어린이집,"경기도 평택시 세교공원로 65 108동 107호(세교동, 태영아파트)",37.0047314,127.0828116
한아름어린이집,"경기도 평택시 세교2로 38 106동 104호(세교동, 개나리아파트)",37.0008083,127.0823288
해뜨랑어린이집,"경기도 평택시 세교공원로 33 308동 105호(세교동, 부영2차아파트)",37.0037316,127.0814549
더샵엔젤어린이집,경기도 평택시 지제동삭1로 41 113동 203호,37.0229222,127.0755031
행복가득한어린이집,경기도 평택시 비전2로 317 반도유보라 아이비파크 206동101호,37.0101740,127.1113449
효성라온어린이집,"경기도 평택시 평남로 865 106동 102호(비전동 , 효성백년가약아파트)",37.0003373,127.1084917
효성킨더어린이집,경기도 평택시 평남로 865 효성백년가약아파트 113동 101호,37.0003373,127.1084917
시립뉴비전엘크루어린이집,경기도 평택시 소사7로 8 관리동,36.9877510,127.1175035
시립평택비전지웰푸르지오어린이집,경기도 평택시 용죽1로 33,36.9973401,127.1222529
시립효성해링턴2단지어린이집,경기도 평택시 소사3로 22 관리동,36.9878033,127.1291729
동산천사 어린이집,경기도 평택시 문화촌로 33,36.9976996,127.1160865
강현어린이집,경기도 평택시 어인남로 35-4,36.9958096,127.0996232
꿈꾸는숲어린이집,경기도 평택시 중앙로 301 문화아파트 관리동2층 (비전동),36.9915018,127.1160050
레이크푸르지오어린이집,경기도 평택시 용죽1로 13 관리동어린이집,36.9972204,127.1196682
성혜몬테소리어린이집,경기도 평택시 신한1길 18 (비전동),36.9922757,127.1052007
야호 어린이집,경기도 평택시 신한4길 26-1 (비전동),36.9929217,127.1060473
은새 어린이집,경기도 평택시 중앙로 109 (비전동),36.9935535,127.0952550
인재어린이집,경기도 평택시 소사2길 9 SK뷰 아파트 단지내 관리동 (소사동),36.9895607,127.1239872
한별어린이집,경기도 평택시 어인남로 21 (비전동),36.9948333,127.0984055
효원어린이집,경기도 평택시 용죽5길 44,36.9938230,127.1281385
둘리어린이집,"경기도 평택시 원평로25번길 63 108동 103호(군문동, 주공아파트)",36.9863085,127.0820412
사랑나무어린이집,경기도 평택시 청북읍 청북남로 277 부영2차아파트 208동 101호,37.0176949,126.9137625
아이생각어린이집,경기도 평택시 청북읍 안청로1길 12 부영1차아파트 117동101호,37.0160539,126.9143937
애플키즈어린이집,경기도 평택시 청북읍 안청로1길 91 대우이안아파트 109-104,37.0197753,126.9089527
해맑은어린이집,경기도 평택시 청북읍 안청로4길 51 한양수자인아파트 906동101호,37.0234543,126.9219357
행복나라어린이집,경기도 평택시 청북읍 안청로1길 75 103동 103호(유승한내들아파트),37.0187072,126.9096484
리틀꼬망세어린이집,경기도 평택시 통복시장로47번길 6 (통복동),36.9995326,127.0853255
시립팽성남산어린이집,경기도 평택시 팽성읍 팽성남산4길 6,36.9576621,127.0595588
꿈바라기어린이집,경기도 평택시 팽성읍 안정로 121,36.9653045,127.0545355
브라운스톤어린이집,경기도 평택시 팽성읍 신흥북로49번길 27,36.9654234,127.0487791
알콩달콩 어린이집,경기도 평택시 팽성읍 안정순환로287번길 43 102호,36.9599208,127.0542542
우수 어린이집,경기도 평택시 팽성읍 안정로 57,36.9613316,127.0495112
천사몬테소리어린이집,경기도 평택시  팽성읍 팽성대교길 98-5,36.9710897,127.0412912
하늘어린이집,경기도 평택시 팽성읍 팽성북로 184-5,36.9785785,127.0538459
꿈동이 어린이집,"경기도 평택시 팽성읍 송화택지로 38 103동 104호(, 현대홈타운)",36.9618294,127.0552950
대원베베어린이집,"경기도 평택시 팽성읍 부용로 36 103동 106호(송화리, 대원)",36.9636500,127.0601166
하늘사랑어린이집,경기도 평택시 부용로 81-1,36.9669333,127.0636324
쁘띠키즈어린이집,경기도 평택시 조개터로26번길 21-4,36.9893317,127.1035756
시립센트럴자이1단지어린이집,경기도 평택시 상서재로5길 15,37.0167736,127.0993367
시립자이나린어린이집,경기도 평택시 상서재로 80 센트럴자이5단지아파트 관리동,37.0203602,127.1036478
센트럴자이4단지어린이집,경기도 평택시 상서재로 50 센트럴자이4단지 관리동 어린이집,37.0191040,127.1020214
엄지어린이집,경기도 평택시 조개터로6번길 41-9,36.9874513,127.1033537
키움어린이집,경기도 평택시 조개터로42번길 30-6 770동 1호(합정동),36.9904020,127.1041818
하랑어린이집,경기도 평택시 조개터로37번길 20 (합정동),36.9909214,127.1015050
시립굿모닝힐맘시티2단지어린이집,경기도 평택시 신촌3로 12,37.0271981,127.1063071
아이맘어린이집,"경기도 평택시 참이슬길 13 110동 101호(합정동, 참이슬아파트)",36.9900233,127.1186129
굿모닝직장어린이집,"경기도 평택시 참이슬길 13 103동 102호(합정동, 참이슬아파트)",36.9900233,127.1186129
가온어린이집,경기도 평택시 안중읍 대반길 160,36.9808359,126.9496545
경기엘림어린이집,경기도 평택시 안중읍 강변로 150-7,36.9802285,126.9453916
맑고고운어린이집,경기도 평택시 안중읍 안현로서5길 13,36.9851264,126.9286719
밀알어린이집,경기도 평택시 안중읍 대반길 40-27,36.9923706,126.9461562
아이세상어린이집,경기도 평택시 안중읍 안중로114번길 21,36.9867869,126.9285633
안중이솝어린이집,경기도 평택시 안중북로 16,36.9921791,126.9268634
이데아키즈어린이집,경기도 평택시 안중읍 안중로8번길 39,36.9827842,126.9275871
정다운어린이집,경기도 평택시 안중읍 안현로서6길 61,36.9840136,126.9222012
지엔키즈어린이집,경기도 평택시 안중읍 송담1로 85 지엔하임1차아파트 관리동 어린이집,36.9785586,126.9294733
화평어린이집,경기도 평택시 안현로서7길 45 서광미소마을아파트 주민복지관1층,36.9808646,126.9226211
누리보듬어린이집,경기도 평택시 안중읍 한촌길27번길 13 1층,36.9903274,126.9083442
봄빛정원어린이집,경기도 평택시 안중읍 현화중앙길 103 현대3차아파트 101동 102호,36.9877789,126.9198407
새단비어린이집,경기도 평택시 안중읍 송담1로 85 지엔하임아파트 108-101,36.9785586,126.9294733
아기둥지어린이집,경기도 평택시 안중읍 안현로서7길 45 서광아파트 106동 101호,36.9808646,126.9226211
우리어린이집,경기도 평택시 안중읍 안현로서6길 105 현대1차아파트 202동 104호,36.9839209,126.9178738
이화뜰어린이집,경기도 평택시 안중읍 안현로서9길 164-9 108동 101호,36.9879068,126.9181486
천사어린이집,경기도 평택시 안중읍 안현로서7길 9 동신2차아파트 203동 104호,36.9806674,126.9253610
동화어린이집,경기도 평택시 안중읍 덕우로 84-4,36.9973017,126.9294633
느티나무어린이집,경기도 평택시 오성면 양교4길 28-5,37.0207076,126.9658571
시립이편한2단지어린이집,경기도 평택시 신흥1로 43,37.0033349,127.1469839
다우리어린이집,경기도 평택시 구룡길 61-14,37.0001061,127.1395489
부영나래어린이집,경기도 평택시 청북읍 안청로1길 12 부영 1차 아파트 118동 104호,37.0160539,126.9143937
시립평택항어린이집,경기도 평택시 포승읍 평택항만길 75-32 시립평택항어린이집,36.9563989,126.8498179
포승시립어린이집,경기도 평택시 포승읍 포승원정길 29,36.9949395,126.8413113
내기어린이집,경기도 평택시 포승읍 내기새싹길 19,36.9788441,126.8742109
지구촌어린이집,경기도 평택시 포승읍 포승원정5길 48,36.9965754,126.8398573
초록별어린이집,경기도 평택시 포승읍 운정길 18,36.9852193,126.8913516
도담어린이집,경기도 평택시 포승읍 여술로43번길 18 201동 106호 (삼부르네상스2차아파트),36.9907749,126.8475483
성균관어린이집,경기도 평택시 포승읍 승학동길 25 202동 103호 (명지2차아파트),36.9777530,126.8779540
한국가스공사늘푸른어린이집,경기도 평택시 포승읍 서동대로 1297-19,36.9905742,126.8969273
한국서부발전(주) 반딧불 어린이집,경기도 평택시 포승읍 서동대로 1297-19,36.9905742,126.8969273
시립현덕어린이집,경기도 평택시 현덕면 인광3길 12-18,36.9660891,126.9218442
크니크니어린이집,"경기도 평택시 원평로25번길 61 215동 104호(군문동, 군문주공2단지)",36.9870175,127.0844064
시립이충어린이집,경기도 평택시 이충로35번길 51 (이충동),37.0573662,127.0672025
기쁜어린이집,경기도 평택시 정암로 164 (이충동),37.0564183,127.0721985
동화속어린이집,경기도 평택시 송탄로 90,37.0531371,127.0572576
보라어린이집,경기도 평택시 정암로54번길 71 (이충동),37.0545353,127.0566327
위즈아이어린이집,경기도 평택시 송탄로 170 롯데캐슬아파트 관리동1층 (서정동),37.0594580,127.0594782
이충피터팬어린이집,경기도 평택시 동령길 33 (이충동),37.0627232,127.0746746
코지어린이집,경기도 평택시 탄현로1번길 31,37.0526829,127.0544906
희소어린이집,경기도 평택시 동령길 17,37.0616777,127.0732227
뜨란채어린이집,"경기도 평택시 이충로35번길 19 205동 103호(이충동, 정암마을주공뜨란채2단지아파트)",37.0585534,127.0673729
방정환어린이집,"경기도 평택시 경기대로 1166 103동 101호(장당동, 우미이노스빌1차)",37.0504506,127.0611272
신나는어린이집,"경기도 평택시 송탄로 90 106동 101호(이충동, 현대아파트)",37.0531371,127.0572576
아이마당어린이집,"경기도 평택시 송탄로40번길 46 102동 101호(장당동, 한국아델리움)",37.0506833,127.0590165
이편한세상어린이집,"경기도 평택시 이충로 49-13 104동 102호(이충동, E-편한세상)",37.0605493,127.0676827
아이랑어린이집,경기도 평택시 탄현로1번길 50 (장당동),37.0519786,127.0536974
풍경가온어린이집,"경기도 평택시 경기대로 1155 (중앙동,제일하이빌 1단지 보육시설)",37.0490263,127.0587618
현대아이랑어린이집,"경기도 평택시 송탄로 90 102동 102호(이충동, 현대아파트)",37.0531371,127.0572576
시립영아전담지산어린이집,경기도 평택시 송탄로 342-12,37.0743934,127.0597903
남부전원어린이집,경기도 평택시 삼남로 530 (지산동),37.0719274,127.0906357
송탄윤서어린이집,경기도 평택시 우곡길 79-5,37.0775489,127.0796296
굿모닝어린이집,"경기도 평택시 송탄공원로 145 102동 110호(지산동, 미주2차아파트)",37.0792134,127.0643482
꼬마요정어린이집,"경기도 평택시 송탄공원로 146 103동 103호(지산동, 아주)",37.0777588,127.0648393
시립더샵센트럴사랑어린이집,경기도 평택시 지제동삭1로 163 관리동,37.0216886,127.0898780
키디피아어린이집,경기도 평택시 동삭로 397 삼익사이버아파트 관리동 2층 (동삭동),37.0215661,127.0971410
푸른어린이집,경기도 평택시 동삭로 386 (동삭동),37.0192112,127.0982439
꼬마숲어린이집,"경기도 평택시 동삭로 386 102동 106호(동삭동,현대아파트)",37.0192112,127.0982439
늘품어린이집,"경기도 평택시 상서재로 55 302동 102호(동삭동, 평택센트럴자이 3단지)",37.0214999,127.1006734
동삭사무엘어린이집,"경기도 평택시 동삭로 386 102동 102호(동삭동, 현대아파트)",37.0192112,127.0982439
삼익아이숲어린이집,"경기도 평택시 동삭로 397 106동 102호(동삭동, 삼익사이버아파트)",37.0215661,127.0971410
자이푸른어린이집,"경기도 평택시 서재로 36 108동 101호(동삭동, 서재자이아파트)",37.0111800,127.1016906
시립가내마을5단지어린이집,경기도 평택시 비전2로 320 관리동,37.0103173,127.1136748
시립배꽃마을어린이집,"경기도 평택시 비전2로 110 관리동 (비전동, 소사벌LH배꽃마을4단지아파트)",37.0022253,127.1014273
시립비전어린이집,경기도 평택시 성동로11번길 2 (비전동),36.9952376,127.0923019
시립우미린레이크어린이집,경기도 평택시 죽백4로 40,37.0039698,127.1245466
대한어린이집,경기도 평택시 만세로 1720-10,37.0137163,127.1110429
더샵 행복한어린이집,"경기도 평택시 죽백4로 16 관리동(죽백동, 소사벌더샵마스터뷰아파트)",37.0016641,127.1249822
뜨레어린이집,경기도 평택시 비전4로 175 뜨레휴 이곡마을 7단지 아파트 관리동 어린이집,37.0093155,127.1044403
라움어린이집,경기도 평택시 동삭로 387-10,37.0208562,127.0957551
리더스하임어린이집,경기도 평택시 비전3로 59,37.0056637,127.1064007
방글방글어린이집,"경기도 평택시 평남로 962 관리동 (비전동, 이곡마을6단지)",37.0071485,127.1048262
비전휴먼시아어린이집,"경기도 평택시 경기대로 506 108동 101호(비전동, 휴먼시아1단지아파트)",37.0036014,127.0945632
솔숲어린이집,경기도 평택시 비전2로 317 반도유보라2차 관리동,37.0101740,127.1113449
엔젤어린이집,"경기도 평택시 비전2로 70 , 관리동(비전동,엘에이치이곡마을3단지아파트)",37.0032323,127.0978509
예림어린이집,경기도 평택시 만세로 1627-46 (동삭동),37.0199303,127.1226206
평택하람어린이집,경기도 평택시 죽백9길 25,37.0059191,127.1200745
한솔 어린이집,경기도 평택시 만세로 1690-1,37.0158741,127.1137452
호반베르디움어린이집,"경기도 평택시 비전3로 116 관리동(죽백동, 호반베르디움아파트)",37.0061997,127.1126530
고은어린이집,경기도 평택시 평택5로 271 롯데캐슬아파트 104동 101호,36.9989184,127.0954029
꼬마대통령어린이집,"경기도 평택시 평택5로 254 107동 106호(비전동, 한성아파트)",37.0003584,127.0982040
바다 어린이집,"경기도 평택시 죽백4로 16 102동 103호(죽백동, 더샵마스터뷰아파트)",37.0016641,127.1249822
소꿉놀이어린이집,"경기도 평택시 비전3로 59 810동 102호(비전동,엘에이치리더스하임아파트)",37.0056637,127.1064007
유보라키즈어린이집,경기도 평택시 비전2로 297 반도유보라 아이파크 104동 104호,37.0084575,127.1135559
해돋이어린이집,경기도 평택시 관동길 39 (월곡동),37.0229941,127.1311030
