이름,주소,위도,경도
TMT학원,경기도 평택시 평택5로 112,36.9956275,127.1108252
TOPIA(토피아)어학원,경기도 평택시 용죽3로 25,36.9939187,127.1248013
T클래스학원,경기도 평택시 평남로 933,37.0040516,127.1048510
T하마수학학원,경기도 평택시 용죽3로 23,36.9936847,127.1249523
U&I영어학원,경기도 평택시 안중읍 현화중앙길 103,36.9877789,126.9198407
UC고덕영수학원,경기도 평택시 고덕국제7로 117,37.0351969,127.0297614
UOE어학원,경기도 평택시 이화로 134-24,37.0068112,127.1381018
U학원,경기도 평택시 이화로 134-24,37.0068112,127.1381018
YBMECC평택글로벌시사어학원,경기도 평택시 평남로 721,36.9948926,127.1139711
YBM잉글루영어학원,경기도 평택시 상서재로 80,37.0203602,127.1036478
YG프리미엄독서실,경기도 평택시 안중읍 현화중앙길 1,36.9786750,126.9206806
YJ수학영어학원,경기도 평택시 신촌5로 29,37.0260390,127.1037809
YL영어교습소,경기도 평택시 이충로 116,37.0644442,127.0643725
가내숲미술학원,경기도 평택시 비전2로 251,37.0049671,127.1155284
가내음악학원,경기도 평택시 비전2로 253,37.0051843,127.1154552
가온길수학교습소,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
가온길수학전문학원,경기도 평택시 고덕갈평6길 29,37.0573027,127.0474399
가온숲보습학원,경기도 평택시 이충로 19,37.0588113,127.0695224
가온영어교습소,경기도 평택시 세교6로 45,37.0102104,127.0866453
가온피아노교습소,경기도 평택시 소사2길 9,36.9895607,127.1239872
감성아트미술교습소,경기도 평택시 세교8길 4-22,37.0080006,127.0903930
강남최상위학원,경기도 평택시 안중읍 안현로서6길 62,36.9850131,126.9227032
강선생중국어교습소,경기도 평택시 평택3로 70-1,36.9953153,127.0947044
강쌤수학학원,경기도 평택시 현신3길 75,36.9990692,127.1423222
강의하는아이들학원,경기도 평택시 만세로 1845,37.0040973,127.1032615
개념원리러닝센터개념국어학원,경기도 평택시 팽성읍 동서촌로 72,36.9645352,127.0600190
경기건축기술학원,경기도 평택시 탄현로 237,37.0738217,127.0553378
경기배관용접연습장학원,경기도 평택시 서정로 28,37.0752141,127.0403808
경희음악학원,경기도 평택시 신촌2로 22,37.0260471,127.1040567
고덕LK입시학원,경기도 평택시 고덕면 고덕중앙로 200-4,37.0477733,127.0442098
고덕LK학원,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
고덕국제필아트미술학원,경기도 평택시 함박산9길 11,37.0387660,127.0307687
고덕대광로제비앙윤선생우리집앞영어교습소,경기도 평택시 고덕국제6로 49,37.0365826,127.0328156
고덕소마학원,경기도 평택시 고덕로 247,37.0366002,127.0276759
고덕아트앤하트율포미술학원,경기도 평택시 함박산2길 47,37.0429711,127.0389930
고덕연세수학학원,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
고덕점더보다바이올린음악학원,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
고덕청담에이프릴어학원,경기도 평택시 함박산8길 35,37.0388291,127.0319290
고덕토마토음악학원,경기도 평택시 고덕국제7로 117,37.0351969,127.0297614
고려e포승학원,경기도 평택시 포승읍 여술로 74,36.9906119,126.8500215
고려학원,경기도 평택시 점촌로19번길 59,37.0660315,127.0562996
고은빛성악·피아노학원,경기도 평택시 팽성읍 동서촌로 62,36.9644813,127.0589553
고집코리아직업전문학원,경기도 평택시 삼봉로 54,37.0896678,127.0690211
고흐미술교습소,경기도 평택시 포승읍 승학동길 17,36.9775600,126.8771365
고희자무용학원,경기도 평택시 특구로5번길 23,37.0659725,127.0617828
공감수학전문학원,경기도 평택시 현촌4길 14,36.9998198,127.1331282
공본학원,경기도 평택시 비전3로 36,37.0029801,127.1056888
공부클래스수학교습소,경기도 평택시 신촌2로 22,37.0260471,127.1040567
공터군문학원,경기도 평택시 원평로39번길 38-2,36.9885869,127.0829528
공터영어N링크학원,경기도 평택시 송탄로 71,37.0516742,127.0557258
공터영어현촌센터학원,경기도 평택시 현촌4길 10,36.9995195,127.1328773
공터영어휴먼이앤엠학원,경기도 평택시 동부공원로14번길 52,36.9928521,127.1180072
관인송탄음악학원,경기도 평택시 이충로35번길 22,37.0598138,127.0667461
국어와국어학원,경기도 평택시 평남로 659,36.9927451,127.1076833
국제스카이(SKY)학원,경기도 평택시 함박산8길 31,37.0385834,127.0315337
국제직업전문학원,경기도 평택시 송탄로 430,37.0818807,127.0580895
군문잉글리쉬무무학원,경기도 평택시 원평로25번길 61-1,36.9861893,127.0830081
굿잉글리쉬인&아웃영어교습소,경기도 평택시 소사3로 22,36.9878033,127.1291729
그랑발레학원,경기도 평택시 지제동삭2로 181-34,37.0177797,127.0946034
그래인입시미술학원,경기도 평택시 평택3로 47,36.9932358,127.0937447
그랜드음악학원,경기도 평택시 이충로 60,37.0624530,127.0692260
그레이스영어교습소,경기도 평택시 이충로 72,37.0641860,127.0684196
그로우댄스학원,경기도 평택시 이충로35번길 24,37.0596424,127.0665046
그리그음악학원,경기도 평택시 비전9길 12-1,37.0031854,127.1090985
그리다미술학원,경기도 평택시 팽성읍 부용로 27  ,36.9632327,127.0587450
그린섬미술학원,경기도 평택시 경기대로 1381,37.0683262,127.0637491
그린아트스콜레미술학원,경기도 평택시 죽백5로 37,37.0039255,127.1198767
그린아트스콜레평택고덕미술교습소,경기도 평택시 함박산8길 36-8,37.0381030,127.0323081
그림과사람들학원,경기도 평택시 평택3로 38,36.9924728,127.0938375
그림나무미술교습소,경기도 평택시 지산2로 50,37.0765896,127.0637001
그림뜰미술학원,경기도 평택시 고덕면 서동대로 2651,37.0171155,127.0339694
그림숲미술교습소,경기도 평택시 신촌5로 41,37.0260364,127.1048575
그림터미술세상교습소,경기도 평택시 세교공원로 16,37.0008325,127.0807004
그림해요미술교습소,경기도 평택시 지제동삭1로 163,37.0216886,127.0898780
글딧뷰티스쿨안중점학원,경기도 평택시 안중읍 현화중앙길 1,36.9786750,126.9206806
글딧뷰티스쿨평택역점학원,경기도 평택시 중앙로 96,36.9934259,127.0937097
글로리아피아노교습소,경기도 평택시 신촌2로 21,37.0260486,127.1045492
기쁜음악학원,경기도 평택시 평택5로 271,36.9989184,127.0954029
기술인양성학원,경기도 평택시 안중읍 송담3로 66,36.9801066,126.9352489
길수학학원,경기도 평택시 중앙로 176,36.9915502,127.1023630
김&송학원,경기도 평택시 용죽2로 40,36.9938650,127.1245688
김경화스트라드바이올린학원,경기도 평택시 평남로 635,36.9907569,127.1065366
김경희BMT수학학원,경기도 평택시 이충로35번길 26,37.0595258,127.0662448
김샘비전푸르넷수학교습소,경기도 평택시 비전1로57번길 68,37.0002574,127.0938549
김성진수학학원,경기도 평택시 평택3로 62,36.9946059,127.0945311
김성태고덕국제에듀포레학원,경기도 평택시 고덕국제8로 91,37.0410779,127.0249588
김성태고덕국제학원,경기도 평택시 고덕면 고덕갈평5길 32,37.0565574,127.0474102
김성태국풍2000에듀타운학원,경기도 평택시 고덕로3길 25,37.0378284,127.0258718
김성희영어교습소,경기도 평택시 중앙로 199,36.9913991,127.1052032
김쌤공감수학교습소,경기도 평택시 포승읍 여술로43번길 5,36.9894768,126.8465825
김쌤수학학원,경기도 평택시 신흥1로2길 63,37.0022301,127.1457737
김연경국어학원,경기도 평택시 신촌2로 21,37.0260486,127.1045492
김정희과학학원,경기도 평택시 비전5로 20-36,36.9993949,127.1157308
김종우ATP학원,경기도 평택시 중앙로 272,36.9899437,127.1128692
김태완수학학원,경기도 평택시 비전3로 32,37.0027807,127.1055511
김형진오감미술학원,경기도 평택시 동삭로 386,37.0192112,127.0982439
꼬마베르디음악학원,경기도 평택시 추담로 58-78,37.0590566,127.0790469
꼬바기영재학원,경기도 평택시 정암로 126-39,37.0545847,127.0714788
꼼꼼수학?영어학원,경기도 평택시 막곡길 8,37.0395982,127.0855520
꿈꾸는보습학원,경기도 평택시 동부공원로14번길 32-23,36.9926709,127.1179178
꿈꾸는이화피아노교습소,경기도 평택시 팽성읍 신흥북로29번길 27,36.9643243,127.0491507
꿈꾸는팔레트미술교습소,경기도 평택시 고덕국제8로 91,37.0410779,127.0249588
꿈나무교실컴퓨터교습소,경기도 평택시 안중읍 송담1로 65,36.9770632,126.9286049
꿈을이루는이루다독서실,경기도 평택시 지산로 75,37.0804215,127.0630444
꿈을이루는이루다현촌본점독서실,경기도 평택시 현촌4길 2-28,37.0002500,127.1338951
꿈채우기미술교습소,경기도 평택시 안중읍 안현로서7길 45 ,36.9808646,126.9226211
끌림뷰티아카데미학원,경기도 평택시 비전5로 20-38,36.9996600,127.1156987
나우수학학원,경기도 평택시 상서재로2길 64,37.0164169,127.1036284
나우어학원,경기도 평택시 송탄로 268,37.0677341,127.0590872
나이스에듀학원,경기도 평택시 특구로 54,37.0704306,127.0638555
내일회계컴퓨터학원,경기도 평택시 비전2로 196,37.0009159,127.1123712
네비스터디학원,경기도 평택시 지장로47번길 4,37.0703873,127.0586047
노원우영어학원,경기도 평택시 비전3로 76,37.0051052,127.1100343
노을목공방학원,경기도 평택시 팽성읍 노와1길 10-11,36.9555740,127.0848015
논술시계논술교습소,경기도 평택시 세교공원로 66,37.0035948,127.0852822
놀작룰루랄라미술교습소,경기도 평택시 상서재로2길 56-10,37.0152299,127.1034274
놀작마이아트미술학원,경기도 평택시 청북읍 안청로4길 17,37.0238655,126.9153962
눈높이러닝센터소사벌학원,경기도 평택시 만세로 1839,37.0044587,127.1038916
눈높이러닝센터장당학원,경기도 평택시 송탄로 66,37.0513387,127.0565025
눈높이러닝센터지산학원,경기도 평택시 지산3로 57 ,37.0802303,127.0642136
눈높이러닝센터청북학원,경기도 평택시 청북면 안청로 346,37.0186888,126.9155054
눈높이러닝센터현화학원,경기도 평택시 안중읍 안현로서6길 52,36.9847604,126.9235409
뉴브레인보습학원,경기도 평택시 현촌4길 16,36.9999425,127.1332695
뉴튼영어송담교습소,경기도 평택시 안중읍 송담1로 85,36.9785586,126.9294733
늘사랑피아노교습소,경기도 평택시 세교공원로 66,37.0035948,127.0852822
늘찬국어학원,경기도 평택시 평택3로 70-1,36.9953153,127.0947044
다꿈컴퓨터학원,경기도 평택시 신촌5로 29,37.0260390,127.1037809
다비드음악예술학원,경기도 평택시 안중읍 안현로서3길 91,36.9874711,126.9214066
다온용접학원,경기도 평택시 지제로 112,37.0219430,127.0597847
다올상상미술교습소,경기도 평택시 평남로 933,37.0040516,127.1048510
다올학원,경기도 평택시 죽백4로 16,37.0016641,127.1249822
달리미술교습소,경기도 평택시 세교공원로 66,37.0035948,127.0852822
달리미술학원,경기도 평택시 송탄로 71,37.0516742,127.0557258
달빛소리음악학원,경기도 평택시 참이슬길 13,36.9900233,127.1186129
대감학원,경기도 평택시 평남로 645,36.9915335,127.1067771
대교하이캠퍼스비전학원,경기도 평택시 평남로 717,36.9948337,127.1137164
대성N학원,경기도 평택시 만세로 1838,37.0050691,127.1035912
대치동영어학원,경기도 평택시 자유로24번길 27,36.9932384,127.0932547
대치리버풀영어학원,경기도 평택시 상서재로2길 64,37.0164169,127.1036284
대치퍼스트학원,경기도 평택시 평남로 941,37.0046213,127.1041729
댄스핏스튜디오학원,경기도 평택시 비전2로 200,37.0012663,127.1128646
더:이룸학원,경기도 평택시 용죽3로 15,36.9931798,127.1252008
더뮤즈음악학원,경기도 평택시 상서재로2길 56-17,37.0160706,127.1035270
더배움학원,경기도 평택시 안중읍 현화중앙길 1,36.9786750,126.9206806
더보이스컴퍼니뮤지컬연기교습소,경기도 평택시 비전3로 32,37.0027807,127.1055511
더블M학원,경기도 평택시 신흥1로1길 22,37.0015646,127.1459677
더블유입시학원,경기도 평택시 고덕갈평5길 32,37.0565574,127.0474102
더블케어영어학원,경기도 평택시 비전2로 133,37.0021871,127.1056730
더샵올림음악학원,경기도 평택시 지제동삭1로 163,37.0216886,127.0898780
더샾음악학원,경기도 평택시 지제동삭1로 163,37.0216886,127.0898780
더스트링음악학원,경기도 평택시 고덕갈평5길 32,37.0565574,127.0474102
더오름청아초점학원,경기도 평택시 청북읍 안청로4길 19,37.0239148,126.9156494
더올림수학교습소,경기도 평택시 죽백4로 60,37.0051548,127.1236215
더원바리스타제과제빵학원,경기도 평택시 평택로32번길 24,36.9910912,127.0892823
더원수학전문학원,경기도 평택시 고덕로3길 25,37.0378284,127.0258718
더잘아카데미학원,경기도 평택시 탄현로 17,37.0542454,127.0532456
더채움영어학원,경기도 평택시 평남로 937,37.0043914,127.1044530
더케이입시학원,경기도 평택시 세교8길 4-18,37.0078496,127.0903102
더케이학원,경기도 평택시 지제동삭2로 181-42,37.0181737,127.0949293
더클라이고덕학원,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
더퍼스트수학교습소,경기도 평택시 비전2로 251,37.0049671,127.1155284
더포스학원,경기도 평택시 안중읍 안현로서8길 57,36.9790700,126.9194080
더플랜컴퓨터아트회계학원,경기도 평택시 용죽3로 12,36.9929692,127.1258439
더피아노음악교습소,경기도 평택시 죽백4로 16,37.0016641,127.1249822
덕동칸타빌레피아노교습소,경기도 평택시 평택5로 151-1,36.9965416,127.1071802
덕동해법영어교습소,경기도 평택시 평택5로 134,36.9976368,127.1085409
덕스어학원,경기도 평택시 고덕로 245,37.0364245,127.0274084
데이빗엔샘영어교습소,경기도 평택시 송탄로 66,37.0513387,127.0565025
도곡점해군음악학원,경기도 평택시 포승읍 여술로43번길 18,36.9907749,126.8475483
도레미음악학원,경기도 평택시 용죽3로,,
독일음악학원,경기도 평택시 함박산9길 11,37.0387660,127.0307687
동락음악학원,경기도 평택시 매봉산1길 16,36.9984041,127.1088172
동문리딩오션독서논술교습소,경기도 평택시 신촌2로 22,37.0260471,127.1040567
동문맘시티링키영어교습소,경기도 평택시 신촌2로 22,37.0260471,127.1040567
동문예원음악학원,경기도 평택시 신촌5로 29,37.0260390,127.1037809
동삭뮤엠영어학원,경기도 평택시 동삭로 374,37.0191683,127.0964532
두각수학학원,경기도 평택시 고덕로 245,37.0364245,127.0274084
두눈관리형학원,경기도 평택시 고덕갈평5길 32,37.0565574,127.0474102
두산중장비학원,경기도 평택시 원평로 40-12,36.9896502,127.0854034
드림로봇학원,경기도 평택시 비전5로 7,37.0000143,127.1122371
드림영어교습소,경기도 평택시 안중읍 안현로서9길 164-9,36.9879068,126.9181486
드림온영어교습소,경기도 평택시 송탄로40번길 46,37.0506833,127.0590165
드림한국어학원,경기도 평택시 평택2로10번길 34,36.9919725,127.0892479
디딤돌독서실,경기도 평택시 지장로47번길 19,37.0699396,127.0577023
디이스트잉글리쉬영수학원,경기도 평택시 신촌5로 41,37.0260364,127.1048575
디자인가우디미술학원,경기도 평택시 평택3로 58,36.9941518,127.0943751
디자인웨이브미술학원,경기도 평택시 경기대로 1371,37.0674972,127.0637020
딩가실용음악학원,경기도 평택시 용죽2로 32-90,36.9922084,127.1247709
또리또리피아노학원,경기도 평택시 송탄공원로 145,37.0792134,127.0643482
라라뮤직음악학원,경기도 평택시 용죽2로 52,36.9942230,127.1258051
라르고음악교습소,경기도 평택시 포승읍 평택항로 475,36.9935372,126.8429488
라엘음악학원,경기도 평택시 신흥1로1길 22,37.0015646,127.1459677
라온뮤즈음악학원,경기도 평택시 지제동삭2로 181-22,37.0171659,127.0932308
라온바둑학원,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
라온음악학원,경기도 평택시 비전3로 25,37.0024282,127.1047915
라온이충수학학원,경기도 평택시 이충로35번길 20-9,37.0603587,127.0664844
라움음악학원,경기도 평택시 안중읍 안현로서9길 164-9  ,36.9879068,126.9181486
라움프리미엄독서실,경기도 평택시 평택2로 118,36.9996962,127.0948697
라이라이중국어학원,경기도 평택시 안중읍 안현로서6길 3,36.9830388,126.9285918
라이즈평택고덕어학원,경기도 평택시 고덕로 250,37.0362879,127.0282882
라이즈평택소사벌어학원,경기도 평택시 소사5길 24,36.9905311,127.1269742
라이크아트미술학원,경기도 평택시 상서재로2길 64,37.0164169,127.1036284
라이트어학원,경기도 평택시 용죽2로 32-25,36.9924463,127.1244842
라인용접학원,경기도 평택시 오좌동길 3,37.0883381,127.0632046
라임오렌지학원,경기도 평택시 이충로35번길 24,37.0596424,127.0665046
라팔레트미술학원,경기도 평택시 서정북로 82,37.0707363,127.0588052
라플라스학원,경기도 평택시 경기대로 1405,37.0705380,127.0640594
라현피아노교습소,경기도 평택시 원평로 13,36.9875675,127.0861236
랭콘잉글리쉬평택비전어학원,경기도 평택시 평택5로34번길 43-7,36.9899782,127.1145896
러셀영어연구소학원,경기도 평택시 용죽3로 22,36.9938444,127.1255078
러시아학원,경기도 평택시 포승읍 여술로44번길 8,36.9883368,126.8473747
럭스(LUXE)영어학원,경기도 평택시 신흥1로1길 22,37.0015646,127.1459677
런업영어교습소,경기도 평택시 중앙로 176,36.9915502,127.1023630
레몬아트스튜디오미술학원,경기도 평택시 신촌2로 21,37.0260486,127.1045492
레이첼영어수학학원,경기도 평택시 만세로 1845,37.0040973,127.1032615
레인보우음악학원,경기도 평택시 청북읍 청북남로 277,37.0176949,126.9137625
레츠고보습학원,경기도 평택시 송탄공원로 145,37.0792134,127.0643482
로이엘클라비어피아노교습소,경기도 평택시 안중읍 안현로서9길 164-20,36.9856430,126.9180000
로이텀학원,경기도 평택시 비전3로 31,37.0029204,127.1050615
로코코음악학원,경기도 평택시 경기대로 1155,37.0490263,127.0587618
론도음악학원,경기도 평택시 지산2로 45,37.0761377,127.0631848
루미에르피아노음악학원,경기도 평택시 상서재로 55,37.0214999,127.1006734
루시드영어소사용죽학원,경기도 평택시 용죽3로 23,36.9936847,127.1249523
루시드영어학원,경기도 평택시 청북읍 안청로 336,37.0179751,126.9157481
루제리바이올린교습소,경기도 평택시 이충로35번길 24,37.0596424,127.0665046
루체음악학원,경기도 평택시 원평로25번길 61-1,36.9861893,127.0830081
루키수학학원,경기도 평택시 용죽2로 32-85,36.9926327,127.1249324
뤼튼비ESL어학원,경기도 평택시 용죽2로 32-85,36.9926327,127.1249324
리더스보습학원,경기도 평택시 청북면 안청로 336,37.0179751,126.9157481
