"주택유형별","지역별","항목","단위","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월",
"종합","오산","매매가격","","105.6841678","108.334052","110.9696639","112.8277886","113.4371792","113.5387139","113.4542305","113.0213557","112.5780228","112.3149003","112.1948223","111.4968029","110.4671652","109.1678131","107.3469165","105.2739657","102.1449689","98.99882378","96.35267468","94.43341573","93.41684464","93.5332603","93.61603145","94.19898542","94.85562332","95.80941508","96.40864275","96.58360477","96.39970289","95.99542622","95.53417983","95.49790766","95.78255437","95.91383108","95.95611475","95.90025117",
"종합","평택","매매가격","","104.148722","105.8872906","107.6957046","108.7226323","109.3515916","109.4089972","109.4466364","109.574351","110.1761215","110.3476699","110.6011533","110.7576863","110.4206563","109.9337123","109.0522438","108.0396399","106.4670703","104.5541238","102.6731668","101.9657406","101.8032877","101.7623801","101.8983488","102.0945896","102.2694854","102.7352178","103.1054149","103.0121425","102.7288656","102.4408195","102.4728915","102.2371185","102.0020364","101.7485937","101.4361564","101.328882",
"종합","동부1권","매매가격","","102.5500424","103.7176593","104.7663936","105.6456692","106.0087347","106.0761818","106.0719192","106.0081633","106.0315236","106.0070767","105.9192641","105.6638368","105.050848","104.2016832","102.9551061","101.2034271","97.86007258","96.15738309","94.73888312","93.51864299","92.7441643","92.40616221","92.36262258","92.41730164","92.49170638","92.77920826","93.00325453","93.07599569","92.91008048","92.59756083","92.32515137","92.07343161","91.8916129","91.78295462","91.71199752","91.82737543",
"종합","남양주","매매가격","","103.2459211","104.9885337","106.3473497","107.296055","107.6971171","107.6919242","107.6841601","107.666695","107.658805","107.5405336","107.4162241","107.3378624","106.7314105","105.7498235","104.1524703","101.8037093","97.55139706","95.93510032","94.77091223","93.38828207","92.46505967","91.93489376","91.69328824","91.42550043","91.16959366","91.20752592","91.19931283","91.16945212","91.07321839","90.84068194","90.45128768","90.13603183","89.85600499","89.74694072","89.58828482","89.68121089",
"종합","구리","매매가격","","102.272444","103.3710137","104.5429464","105.2818752","105.5016173","105.5233453","105.5384449","105.5766877","105.525517","105.5037273","105.3830301","105.24477","104.9387","104.2329325","103.4230353","102.3191793","99.20401036","97.70713347","96.73108462","96.0451467","95.44291461","95.14926331","94.95726442","94.85722279","94.60964309","94.83800569","94.85141708","94.91852683","94.84478983","94.81912004","94.76192098","94.71169082","94.70743023","94.82453116","94.935069","95.06881918",
"종합","하남","매매가격","","101.6386608","102.2140631","102.7104861","103.1313687","103.2016823","103.0320714","102.8864425","102.6651348","102.6353705","102.6183103","102.4677861","102.1214974","101.3478021","100.3337229","98.94917233","96.92642773","93.29098995","89.87533318","86.56895502","84.91984503","84.2933491","84.78310796","85.80238386","87.19707073","88.75868937","90.07890968","91.24297622","91.94609116","92.1635978","91.82162042","91.76093101","91.55941292","91.6331939","91.74427226","91.92250931","92.21562055",
"종합","광주","매매가격","","101.9816039","102.5262952","103.2977649","104.381145","104.9115799","105.2580241","105.3306857","105.2292547","105.3713394","105.5017257","105.5277816","104.9662039","104.2891459","103.6931075","102.922493","102.0590605","100.3913119","99.44359096","98.51882253","97.61474965","96.93861296","96.41730903","96.14857052","96.04593768","95.97865741","96.14258147","96.33773402","96.24252335","95.70226749","95.15038997","94.86534606","94.6108393","94.37448492","94.04438691","93.90430393","93.94664227",
"종합","동부2권","매매가격","","101.307754","102.0803741","102.9381656","103.7981794","104.4790615","104.8454916","105.1771762","105.5989282","106.0502991","106.5172389","106.9418574","107.3059176","107.5305349","107.7255559","107.7431348","107.1044197","105.5746852","104.1599137","103.423787","102.9157971","102.6973404","102.6103035","102.5017264","102.4418117","102.3883458","102.3597883","102.389674","102.3393644","102.2119439","102.0702329","101.9856193","101.8987373","101.7992847","101.6846424","101.6855425","101.7189844",
"종합","이천","매매가격","","102.1042562","103.4653822","104.8461303","106.2844903","107.5219761","108.1834798","108.8082988","109.5796387","110.3995985","111.161241","111.966007","112.5945108","112.8794194","113.1638056","113.1481618","112.0738811","109.474479","107.0062775","106.0767471","105.3652255","105.1622367","105.0461771","104.7565625","104.7326808","104.6521257","104.5290325","104.4540858","104.2856144","104.0529227","103.8425839","103.6726341","103.4292517","103.2182192","102.9159309","102.7789829","102.620451",
"종합","여주","매매가격","","101.2269672","101.8025654","102.5773892","103.287873","103.7054065","103.8527482","103.9856244","104.1412748","104.3997423","104.7175132","104.9390068","105.2032298","105.4082306","105.5824428","105.5626601","104.989461","103.8217697","102.4953055","101.5906579","100.9962917","100.666357","100.6488606","100.8469711","100.7577245","100.8417683","101.0250352","101.2299563","101.1484794","101.0286023","100.8941995","100.8682069","101.0180935","101.0491905","101.0396111","101.1969326","101.3528087",
"종합","경의권","매매가격","","102.1697212","103.6483254","104.9718808","105.7491031","106.0504281","106.1858107","106.1938421","106.2318914","106.3431123","106.4887685","106.5749894","106.5345558","106.1998754","105.4914666","104.1928947","101.9307161","99.05494818","97.09258976","95.21225507","94.16181812","93.46030193","92.91402578","92.58325131","92.34634102","92.30503023","92.46161141","92.62665493","92.54759008","92.41811985","92.25363344","92.13088402","91.98825911","91.99932324","91.92814944","91.87481825","91.88195874",
