iter	RMSE
206	3215.687401
207	3213.264008
208	3211.762628
209	3208.701613
210	3206.368135
211	3204.354622
212	3201.695781
213	3199.002654
214	3197.295818
215	3196.027466
216	3194.375529
217	3192.111197
218	3189.983692
219	3189.050502
220	3187.715106
221	3185.619238
222	3185.014478
223	3183.789857
224	3182.076727
225	3181.457211
226	3179.510305
227	3177.641528
228	3175.5473
229	3174.98727
230	3173.004589
231	3169.521354
232	3167.928668
233	3164.982355
234	3163.572304
235	3161.823421
236	3158.253845
237	3155.894905
238	3154.372748
239	3152.586245
240	3150.60709
241	3148.289473
242	3147.292905
243	3145.493719
244	3143.889901
245	3142.596785
246	3141.392939
247	3140.041281
248	3139.464397
249	3138.120717
250	3136.313288
251	3133.921528
252	3131.933069
253	3131.012106
254	3129.508411
255	3126.523213
256	3125.328722
257	3123.894169
258	3122.016481
259	3120.90482
260	3119.25154
261	3117.558453
262	3116.623729
263	3116.268676
264	3115.121217
265	3113.969836
266	3112.514249
267	3112.244939
268	3110.384684
269	3108.409753
270	3108.170406
271	3106.590922
272	3104.62092
273	3103.027709
274	3101.451363
275	3100.109597
276	3099.385177
277	3098.038587
278	3096.073284
279	3094.916781
280	3094.079279
281	3093.129832
282	3091.841501
283	3091.228443
284	3089.698998
285	3088.793879
286	3088.508008
287	3087.194424
288	3086.657734
289	3085.801526
290	3083.399458
291	3082.575942
292	3081.188087
293	3080.767763
294	3079.877357
295	3078.416191
296	3077.636583
297	3076.434671
298	3075.045691
299	3074.019593
300	3072.758005
301	3072.120961
302	3070.015965
303	3069.152105
304	3067.795557
305	3066.704072
306	3065.64756
307	3064.47615
308	3062.638586
309	3061.154498
310	3060.00008
311	3058.884231
312	3058.11051
313	3057.073273
314	3054.745733
315	3053.606361
316	3052.600555
317	3052.018196
318	3051.11997
319	3050.039587
320	3048.870637
321	3047.785709
322	3046.999431
323	3046.289074
324	3044.895563
325	3043.377837
326	3042.50151
327	3042.360801
328	3041.711423
329	3041.111301
330	3040.209288
331	3039.111808
332	3038.989547
333	3038.089296
334	3037.304576
335	3036.608985
336	3036.171224
337	3035.079433
338	3033.57724
339	3033.466535
340	3032.013932
341	3031.339326
342	3030.434706
343	3030.229121
344	3029.111655
345	3028.654799
346	3027.928956
347	3027.38115
348	3026.533766
349	3025.628167
350	3024.79675
351	3023.986675
352	3023.320207
353	3022.599837
354	3021.911041
355	3021.077176
356	3020.497334
357	3019.716643
358	3018.738267
359	3018.557861
360	3016.795306
361	3016.244668
362	3014.978237
363	3014.527738
364	3012.941684
365	3012.454692
366	3011.840351
367	3010.888283
368	3010.11824
369	3009.509678
370	3008.754546
371	3007.638247
372	3007.554203
373	3006.787858
374	3006.413544
375	3006.000785
376	3005.289503
377	3004.757093
378	3003.364948
379	3002.74617
380	3001.712252
381	3000.41905
382	2999.794823
383	2999.119427
384	2998.560011
385	2998.013641
386	2997.575073
387	2996.42144
388	2995.787547
389	2995.196707
390	2994.381249
391	2993.741476
392	2992.982956
393	2992.457493
394	2991.943009
395	2991.198066
396	2990.614684
397	2990.05533
398	2989.598406
399	2988.123907
400	2986.734554
401	2986.343071
402	2986.021962
403	2985.30664
404	2984.512851
405	2983.786138
406	2983.567256
407	2982.933498
408	2982.3289
409	2982.136961
410	2981.603233
411	2980.71433
412	2980.223571
413	2980.016583
414	2978.998686
415	2977.880458
416	2977.228114
417	2976.774366
418	2976.215279
419	2975.480538
420	2975.20261
421	2974.80544
422	2973.937975
423	2972.691282
424	2972.028587
425	2971.636484
426	2970.781553
427	2970.511286
428	2969.718451
429	2968.663454
430	2968.255251
431	2967.862803
432	2966.957349
433	2966.37409
434	2965.998675
435	2965.061202
436	2964.924031
437	2964.325116
438	2962.954327
439	2962.478644
440	2962.066151
441	2961.91565
442	2960.960371
443	2960.298147
444	2959.818768
445	2959.496
446	2958.62772
447	2958.182154
448	2957.022016
449	2956.332666
450	2956.161952
451	2955.530733
452	2955.133188
453	2954.267468
454	2953.185215
455	2952.518012
456	2952.102341
457	2951.548212
458	2951.102608
459	2950.219273
460	2949.063543
461	2948.539371
462	2948.015463
463	2947.484022
464	2946.559962
465	2946.058004
466	2945.996105
467	2945.190389
468	2944.673475
469	2944.471192
470	2943.492174
471	2942.802042
472	2942.44974
473	2941.83349
474	2940.111522
475	2939.504556
476	2938.016694
477	2937.784594
478	2937.207054
479	2936.784919
480	2936.038989
481	2935.176935
482	2934.829206
483	2934.346562
484	2933.778246
485	2933.56436
486	2933.014772
487	2932.741324
488	2932.551192
489	2932.079065
490	2931.881963
491	2931.659895
492	2931.238312
493	2930.829849
494	2930.502941
495	2930.113549
496	2929.587019
497	2928.970377
498	2928.758394
499	2928.468404
500	2928.281041
501	2927.379196
502	2927.076987
503	2926.739958
504	2926.217842
505	2925.657136
506	2925.223281
507	2924.839447
508	2924.344928
509	2923.530917
510	2922.951612
511	2922.545569
512	2922.00224
513	2921.649187
514	2921.458329
515	2920.77253
516	2920.159877
517	2919.496082
518	2919.031765
519	2918.254575
520	2917.531012
521	2917.193353
522	2916.775412
523	2916.357074
524	2915.737765
525	2914.932518
526	2914.393665
527	2913.957585
528	2913.679729
529	2913.218395
530	2912.552861
531	2912.175139
532	2911.954042
533	2911.615142
534	2911.26146
535	2910.923345
536	2910.535867
537	2909.888274
538	2909.291364
539	2908.678051
540	2908.421111
541	2907.978227
542	2907.597513
543	2906.866364
544	2906.513071
545	2906.207567
546	2905.65803
547	2905.415689
548	2904.881285
549	2904.175123
550	2903.725602
551	2903.525314
552	2903.149679
553	2902.851659
554	2902.285554
555	2901.835953
556	2901.329322
557	2900.737812
558	2900.516276
559	2900.15815
560	2899.68973
561	2898.942108
562	2898.57871
563	2897.923091
564	2897.682201
565	2897.31761
566	2896.891333
567	2896.508093
568	2895.950351
569	2895.444598
570	2895.21501
571	2893.821215
572	2893.334331
573	2892.907562
574	2892.673164
575	2892.532033
576	2892.011112
577	2891.788094
578	2891.286205
579	2890.571647
580	2889.895587
581	2889.203459
582	2889.008404
583	2888.712566
584	2888.241559
585	2887.082245
586	2886.632637
587	2886.308041
588	2885.651263
589	2885.222398
590	2885.032886
591	2884.805795
592	2884.472953
593	2884.145162
594	2883.495847
595	2882.607987
596	2882.241741
597	2882.016752
598	2881.798602
599	2881.494919
600	2880.955262
601	2880.772907
602	2880.491423
603	2880.081961
604	2879.577314
605	2879.452008
606	2879.104309
607	2878.749979
608	2878.317604
609	2877.712418
610	2877.45688
611	2876.915823
612	2876.480107
613	2876.225757
614	2876.003169
615	2875.489958
616	2875.197467
617	2874.848214
618	2874.340957
619	2874.150461
620	2874.000403
621	2873.35693
622	2873.128005
623	2872.915912
624	2872.53757
625	2872.253687
626	2871.954606
627	2871.882475
628	2871.72041
629	2871.274473
630	2870.90238
631	2870.542341
632	2870.284807
633	2870.077914
634	2869.856205
635	2869.389987
636	2869.027689
637	2868.898198
638	2868.778676
639	2868.713116
640	2868.543957
641	2868.230487
642	2868.055981
643	2867.732243
644	2867.438395
645	2867.333746
646	2867.151029
647	2867.092277
648	2866.343837
649	2866.112399
650	2865.582519
651	2865.354491
652	2864.992511
653	2864.768912
654	2864.333984
655	2864.229987
656	2864.051067
657	2863.724617
658	2863.291357
659	2862.809043
660	2862.320001
661	2861.86184
662	2861.481983
663	2861.262247
664	2860.898718
665	2860.487893
666	2860.219159
667	2860.031031
668	2859.968408
669	2859.899197
670	2859.623143
671	2859.213048
672	2859.150437
673	2858.792433
674	2858.707331
675	2858.110069
676	2857.543797
677	2857.24248
678	2856.991452
679	2856.400913
680	2856.021593
681	2855.865964
682	2855.628913
683	2855.411131
684	2855.107279
685	2854.994249
686	2854.534483
687	2853.927879
688	2853.454085
689	2853.337337
690	2852.045545
691	2851.336264
692	2850.918524
693	2850.547291
694	2849.615754
695	2849.393479
696	2849.188568
697	2849.009013
698	2848.50538
699	2848.156287
700	2848.083978
701	2847.53324
702	2847.36296
703	2847.125558
704	2846.985995
705	2846.54184
706	2846.234965
707	2845.174549
708	2844.995913
709	2844.540968
710	2844.116273
711	2843.96138
712	2843.681878
713	2843.393117
714	2843.073075
715	2842.611667
716	2842.295382
717	2842.171553
718	2841.985975
719	2841.702161
720	2841.217968
721	2840.983454
722	2840.647665
723	2840.238895
724	2840.082109
725	2839.783618
726	2839.586619
727	2839.27484
728	2839.067476
729	2838.81734
730	2838.592212
731	2838.323785
732	2838.077414
733	2837.967482
734	2837.704812
735	2837.616682
736	2837.157176
737	2836.762785
738	2836.617431
739	2836.427026
740	2836.142913
741	2835.915609
742	2835.722674
743	2835.559151
744	2835.355134
745	2835.143653
746	2834.871558
747	2834.522511
748	2834.327228
749	2834.15691
750	2834.008672
751	2833.736661
752	2833.263462
753	2833.042807
754	2832.932813
755	2832.626726
756	2832.412821
757	2832.051806
758	2831.838361
759	2831.306553
760	2830.814806
761	2830.654405
762	2830.621613
763	2830.194426
764	2829.951892
765	2829.73622
766	2829.401011
767	2829.297799
768	2829.242348
769	2828.931321
770	2828.793174
771	2828.62971
772	2828.479456
773	2828.279922
774	2828.078764
775	2827.400119
776	2827.348771
777	2827.263086
778	2826.755191
779	2826.517357
780	2826.478995
781	2826.163761
782	2825.946473
783	2825.743475
784	2825.466443
785	2825.303372
786	2825.05018
787	2824.349715
788	2824.037911
789	2823.64359
790	2823.535972
791	2823.336911
792	2822.929667
793	2822.709863
794	2822.366104
795	2822.123012
796	2821.868641
797	2821.480304
798	2821.225047
799	2820.843164
800	2820.69577
801	2820.608565
802	2820.365827
803	2820.261219
804	2820.117742
805	2819.694151
806	2819.2496
807	2818.762991
808	2818.469399
809	2818.125428
810	2817.912833
811	2817.729865
812	2817.397246
813	2817.012816
814	2816.477512
815	2816.18483
816	2816.04817
817	2815.350224
818	2815.161073
819	2815.076519
820	2814.790695
821	2814.664076
822	2814.252952
823	2814.044493
824	2813.809372
825	2813.494235
826	2813.240209
827	2812.665472
828	2812.385201
829	2812.206031
830	2812.190882
831	2811.873988
832	2811.624684
833	2811.614441
834	2811.499619
835	2811.269994
836	2811.044765
837	2810.949867
838	2810.742899
839	2809.831834
840	2809.613101
841	2809.477501
842	2809.266713
843	2809.112347
844	2808.84448
845	2808.574321
846	2808.293231
847	2808.110194
848	2807.888704
849	2807.624445
850	2807.350409
851	2807.322004
852	2807.224029
853	2807.043658
854	2806.691943
855	2806.450359
856	2806.244796
857	2806.07047
858	2805.820896
859	2805.65153
860	2805.436948
861	2805.37283
862	2805.087698
863	2805.039757
864	2804.785471
865	2804.581836
866	2804.424718
867	2804.131403
868	2803.82866
869	2803.59224
870	2803.375169
871	2803.220866
872	2803.192838
873	2803.060095
874	2802.860437
875	2802.643558
876	2802.47151
877	2802.283576
878	2802.178121
879	2801.811499
880	2801.59679
881	2801.361314
882	2800.916562
883	2800.765333
884	2800.67658
885	2800.294022
886	2800.188163
887	2799.896411
888	2799.670789
889	2799.531421
890	2799.268107
891	2799.1426
892	2799.075151
893	2798.443492
894	2798.363754
895	2798.106283
896	2797.810968
897	2797.657804
898	2797.521463
899	2797.451878
900	2797.275394
901	2797.183496
902	2797.00723
903	2796.738738
904	2796.621819
905	2796.307345
906	2795.575743
907	2795.333516
908	2795.129422
909	2794.962231
910	2794.619856
911	2794.437308
912	2794.119906
913	2793.961245
914	2793.585842
915	2793.386487
916	2793.073455
917	2792.901107
918	2792.529734
919	2792.313985
920	2791.709443
921	2791.43545
922	2791.200237
923	2791.035937
924	2790.313058
925	2790.207357
926	2789.915421
927	2789.706579
928	2789.341801
929	2789.211277
930	2789.02645
931	2788.932779
932	2788.832497
933	2788.749191
934	2788.63165
935	2788.420195
936	2788.269442
937	2788.096109
938	2787.709025
939	2787.626645
940	2787.475424
941	2787.335316
942	2787.051251
943	2786.628354
944	2786.376384
945	2786.155251
946	2786.029747
947	2785.881268
948	2785.763385
949	2785.611748
950	2785.390489
951	2785.142039
952	2785.090735
953	2785.045015
954	2784.950399
955	2784.152478
956	2783.840166
957	2783.555445
958	2783.309092
959	2782.878882
960	2782.527315
961	2782.480299
962	2782.22128
963	2781.983459
964	2781.813312
965	2781.263412
966	2781.222294
967	2781.024951
968	2780.896731
969	2780.732799
970	2780.091184
971	2779.742932
972	2779.727774
973	2779.618756
974	2779.463258
975	2779.195856
976	2778.583385
977	2778.545028
978	2778.337392
979	2778.131697
980	2777.887478
981	2777.610094
982	2777.478351
983	2777.290301
984	2777.175057
985	2776.899082
986	2776.604878
987	2776.469566
988	2776.217563
989	2776.073624
990	2775.895522
991	2775.447425
992	2775.289485
993	2775.237672
994	2775.090129
995	2775.004436
996	2774.870258
997	2774.784586
998	2774.624249
999	2774.507647
