iter	Passed	Remaining
478	682	741
479	683	740
480	685	739
481	687	738
482	689	737
483	691	737
484	693	736
485	695	735
486	697	734
487	698	733
488	700	732
489	702	731
490	704	730
491	706	729
492	708	728
493	710	727
494	712	726
495	714	725
496	716	724
497	718	723
498	720	722
499	722	722
500	724	721
501	726	720
502	727	719
503	729	718
504	731	717
505	734	716
506	736	715
507	738	715
508	740	714
509	742	713
510	744	712
511	746	711
512	748	710
513	750	709
514	752	708
515	755	708
516	757	707
517	759	706
518	761	705
519	763	704
520	765	703
521	767	702
522	769	701
523	771	700
524	773	700
525	775	699
526	777	698
527	779	696
528	781	695
529	783	694
530	785	694
531	788	693
532	790	692
533	792	691
534	794	690
535	796	689
536	798	688
537	800	687
538	802	686
539	804	685
540	806	684
541	808	683
542	810	682
543	812	680
544	814	679
545	816	678
546	818	677
547	821	677
548	823	676
549	825	675
550	827	674
551	829	673
552	831	672
553	833	671
554	836	670
555	838	669
556	840	668
557	842	667
558	845	666
559	847	665
560	849	664
561	851	663
562	853	662
563	856	661
564	857	660
565	860	659
566	862	658
567	864	657
568	866	656
569	868	655
570	870	654
571	873	653
572	875	652
573	877	651
574	880	650
575	882	649
576	884	648
577	886	647
578	888	646
579	890	645
580	892	643
581	895	642
582	897	641
583	899	640
584	901	639
585	903	638
586	905	637
587	907	636
588	909	634
589	911	633
590	913	632
591	915	631
592	918	630
593	920	628
594	922	627
595	924	626
596	926	625
597	928	624
598	930	622
599	932	621
600	935	620
601	937	619
602	939	618
603	941	617
604	942	615
605	945	614
606	947	613
607	949	612
608	951	610
609	953	609
610	955	608
611	957	607
612	959	605
613	961	604
614	963	602
615	965	601
616	967	600
617	968	598
618	970	597
619	973	596
620	974	595
621	976	593
622	978	592
623	980	590
624	982	589
625	984	588
626	985	586
627	987	585
628	989	583
629	991	582
630	992	580
631	994	579
632	996	577
633	998	576
634	1000	575
635	1002	573
636	1004	572
637	1005	570
638	1007	569
639	1009	567
640	1011	566
641	1012	564
642	1014	563
643	1016	562
644	1018	560
645	1020	559
646	1021	557
647	1023	556
648	1025	554
649	1027	553
650	1029	551
651	1030	550
652	1032	548
653	1034	547
654	1036	545
655	1038	544
656	1039	542
657	1041	541
658	1043	539
659	1044	538
660	1046	536
661	1047	534
662	1049	533
663	1050	531
664	1052	530
665	1053	528
666	1055	526
667	1056	525
668	1058	523
669	1060	522
670	1061	520
671	1063	518
672	1064	517
673	1066	515
674	1067	514
675	1069	512
676	1071	511
677	1072	509
678	1074	507
679	1076	506
680	1077	504
681	1079	503
682	1081	501
683	1082	500
684	1084	498
685	1086	497
686	1088	495
687	1090	494
688	1092	492
689	1093	491
690	1113	497
691	1128	502
692	1130	500
693	1132	499
694	1135	498
