단지명,주소,층,계약년월,전용면적(㎡),건축년도,거래금액(만원),위도,경도
평택스마트빌포레,경기도 평택시 포승읍 도곡리 1117-11,10,202408,24.09,2017,"6,500",36.9898862,126.8414122
삼성,경기도 평택시 통복동 477,9,202408,84.87,1993,"24,000",36.9917077,127.0795831
한성,경기도 평택시 비전동 800,3,202408,59.995,1997,"20,500",37.0003029,127.0986826
평택지제역동문굿모닝힐맘시티2단지,경기도 평택시 칠원동 559,11,202408,74.766,2019,"33,000",37.0267896,127.1062895
고덕하늘채시그니처,경기도 평택시 고덕면 궁리 523,23,202408,59.9717,2021,"32,000",37.0201237,127.0345312
지제역더샵센트럴시티,경기도 평택시 지제동 가-,2,202408,84.9247,2022,"79,500",,
브라운스톤청북,경기도 평택시 청북읍 옥길리 1071,9,202408,77.7895,2017,"25,800",37.0203861,126.9059856
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,18,202408,59.7656,2020,"42,500",37.0162832,127.0927203
평택센트럴자이 4단지,경기도 평택시 동삭동 854,16,202408,59.5152,2018,"37,000",37.0190802,127.1021658
평택센트럴자이3단지,경기도 평택시 동삭동 852,23,202408,72.6417,2019,"42,000",37.0209526,127.1005266
지산코아루,경기도 평택시 지산동 1250,9,202408,160.9074,2011,"46,000",37.0822318,127.0692375
평택용이금호어울림1단지,경기도 평택시 용이동 581,14,202408,84.9986,2015,"36,200",37.0015751,127.1307921
평택소사벌반도유보라아이비파크,경기도 평택시 죽백동 720,5,202408,84.8976,2016,"35,500",37.0102463,127.1111016
e편한세상평택용이2단지,경기도 평택시 용이동 738,14,202408,84.91,2017,"34,000",37.0031991,127.1465691
평택효성해링턴플레이스2단지,경기도 평택시 소사동 697,2,202408,59.979,2019,"28,200",36.9874051,127.1296995
성원,경기도 평택시 안중읍 현화리 825-1,1,202408,59.5159,2002,"17,000",36.9835432,126.9201125
현대(824-5),경기도 평택시 안중읍 현화리 824-1,5,202408,84.726,2002,"20,500",36.9834824,126.9169802
평택용이2차푸르지오,경기도 평택시 용이동 470-1,2,202408,84.9206,2010,"34,700",36.9968729,127.1419398
평택비전에듀포레푸르지오,경기도 평택시 용이동 652,20,202408,73.8171,2018,"42,000",36.9927558,127.1225496
한승아파트,경기도 평택시 진위면 견산리 27-15,7,202408,34.4,2000,"8,900",37.1078327,127.0796372
