이름,주소,위도,경도
솔라온한의원,"경기도 평택시 안중읍 안현로서8길 57, 붐붐프라자 3층 306호",36.9790700,126.9194080
송탄소나무한의원,"경기도 평택시 점촌로20번길 20, 1층 (서정동)",37.0624976,127.0558818
송탄한의원,"경기도 평택시 지산로 56, 3층 (지산동, 정우빌딩)",37.0794618,127.0612224
수국한의원,"경기도 평택시 용죽5길 6-28, JEJ TOWER 7층 (용이동)",36.9925896,127.1260700
숨쉬는한의원,"경기도 평택시 평남로 941, 3층 (비전동, 우성메디피아)",37.0046213,127.1041729
시민한의원,"경기도 평택시 평택4로 49, 1층 (비전동)",36.9924368,127.1007289
신한의원,"경기도 평택시 중앙1로 84, (비전동)",36.9967901,127.0920730
안중한의원,"경기도 평택시 안중읍 안현로서6길 7, (대건빌딩)",36.9833294,126.9280806
약손한의원,"경기도 평택시 안중읍 안현로서6길 46, (안중읍)",36.9847799,126.9244090
연세한의원,"경기도 평택시 비전2로 192, 메가타워 3층 301호 (비전동)",37.0006528,127.1118230
열린한의원,"경기도 평택시 탄현로 326, (지산동)",37.0813235,127.0561320
예림한의원,"경기도 평택시 송탄로 122, 소망빌딩 1층 (이충동)",37.0552391,127.0572262
옥수봉한의원,"경기도 평택시 서정역로 18, 2층 (서정동)",37.0557435,127.0558081
온정한의원,"경기도 평택시 서재로 2, 한주빌딩 2층 (동삭동)",37.0098798,127.0988015
으뜸한의원,"경기도 평택시 중앙로 188-1, (합정동)",36.9913784,127.1037941
이당한의원,"경기도 평택시 평남로 709, (비전동)",36.9944713,127.1128720
이삭한의원,"경기도 평택시 만세로 1838, (비전동, SK타워)",37.0050691,127.1035912
이소한의원,"경기도 평택시 평택3로 60, (비전동)",36.9944572,127.0944290
이정상한의원,"경기도 평택시 이충로35번길 28-22, 203호 (이충동, 리치플러스)",37.0598588,127.0659911
인화당한의원,"경기도 평택시 평택2로 21-1, (평택동)",36.9934438,127.0887697
일독한의원,"경기도 평택시 팽성읍 팽성송화로 27, (팽성읍)",36.9508299,127.0525888
임한의원,"경기도 평택시 탄현로336번길 6, (지산동)",37.0817185,127.0566922
자연과한의원,"경기도 평택시 중앙2로 13, 205호 (평택동)",36.9919135,127.0886955
자우당부부한의원,"경기도 평택시 용죽3로 24, 2층 203호 (용이동)",36.9941062,127.1254147
자혜한의원,"경기도 평택시 탄현로 321, (신장동)",37.0810927,127.0555435
장수한의원,"경기도 평택시 안중읍 안중로 121-1, 1층",36.9888935,126.9301136
